"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","inCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","informationWithheld","verbatimEventDate","datasetName","verbatimLocality","gbifID","collectionCode","occurrenceID","taxonID","recordedBy","catalogNumber","institutionCode","eventTime","identifiedBy","http://unknown.org/captive","identificationID","projectId","individualCount","coordinatePrecision","continent","organismQuantity","organismQuantityType","eventID","institutionID","georeferenceProtocol","municipality","type","locationID","ownerInstitutionCode","samplingProtocol","occurrenceRemarks","language","locality","acceptedNameUsage","dynamicProperties","footprintWKT","verbatimSRS","footprintSRS","county","waterBody","name","sex","taxonConceptID","associatedSequences","sampleSizeUnit","sampleSizeValue","samplingEffort","habitat","institutionKey","elevation","elevationAccuracy","island","preparations","disposition","otherCatalogNumbers","verbatimElevation","georeferencedDate","georeferencedBy","georeferenceVerificationStatus","associatedReferences","verbatimCoordinateSystem","higherClassification"
"2557769766","Microtus cabrerae Thomas, 1906",38.641553,-8.664723,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","PT","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:52:11.348+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT","2020-01-12T13:25:06",28210,"Setúbal",2020,1,12,"2020-01-12T13:24:35","2020-10-05T11:45:19.000+00:00","2022-03-08T17:52:11.348+00:00","https://www.inaturalist.org/observations/37521953","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","Paulo E. Cardoso","37521953","pecardoso","Coordinate uncertainty increased to 28210m to protect threatened taxon","Sun Jan 12 2020 13:24:35 GMT+0000 (GMT)","iNaturalist research-grade observations","Portugal","2557769766","Observations","https://www.inaturalist.org/observations/37521953","44277","Paulo E. Cardoso","37521953","iNaturalist","13:24:35Z","Paulo E. Cardoso","wild","83354911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2883125334","Microtus cabrerae Thomas, 1906",38.148229,-8.520837,"cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","PT","DWC_ARCHIVE","2022-03-08T14:18:01.172+00:00","2022-03-08T17:35:23.643+00:00",295,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT","2019-11-25T14:36:10",28300,"Setúbal",2019,11,19,"2019-11-19T17:07:00","2020-10-05T11:45:07.000+00:00","2022-03-08T17:35:23.643+00:00","https://www.inaturalist.org/observations/36059190","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","Ines do Rosário","36059190","itrosario","Coordinate uncertainty increased to 28300m to protect threatened taxon","2019/11/19 5:07 PM WET","iNaturalist research-grade observations","Setúbal, PT","2883125334","Observations","https://www.inaturalist.org/observations/36059190","44277","Ines do Rosário","36059190","iNaturalist","17:07:00Z","Ines do Rosário","wild","78827385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488417","Microtus cabrerae Thomas, 1906",41.38647,-7.207581,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:22.998+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,16,"2017-05-16T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:22.998+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","1c403579-b0a2-41ef-8d8d-5ddc665e9cc7",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488417","EDP_TUA_Cabrera_PME","1c403579-b0a2-41ef-8d8d-5ddc665e9cc7",NA,"Catarina Ferreira","430","EDP","15:10Z/15:55Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",5,1e-05,"EUROPE",5,"individuals","E12.4","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Mirandela","event","MCFT12-1","EDP","“had oc” observations","trails",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488519","Microtus cabrerae Thomas, 1906",41.38684,-7.206596,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:23.045+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,16,"2017-05-16T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:23.045+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","f0a8b98a-24bf-4e16-a9cb-7e2347fb7f4f",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488519","EDP_TUA_Cabrera_PME","f0a8b98a-24bf-4e16-a9cb-7e2347fb7f4f",NA,"Catarina Ferreira","431","EDP","15:10Z/15:55Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",10,1e-05,"EUROPE",10,"individuals","E12.6.4","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Mirandela","event","MCFT12-2","EDP","“had oc” observations","trails",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488599","Microtus cabrerae Thomas, 1906",41.380116,-7.223797,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:23.047+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,17,"2017-05-17T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:23.047+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","87eb3616-3861-47fb-becb-cf8033bd0850",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488599","EDP_TUA_Cabrera_PME","87eb3616-3861-47fb-becb-cf8033bd0850",NA,"Catarina Ferreira","432","EDP","11:00Z/11:31Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",4,1e-05,"EUROPE",4,"individuals","E16.3.8","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Mirandela","event","MCFT16-1","EDP","“had oc” observations","trails",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488618","Microtus cabrerae Thomas, 1906",41.380116,-7.223797,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:23.045+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,17,"2017-05-17T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:23.045+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","03c2e5b5-3ce5-4d4f-9a1c-9f47bb1d5eed",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488618","EDP_TUA_Cabrera_PME","03c2e5b5-3ce5-4d4f-9a1c-9f47bb1d5eed",NA,"Catarina Ferreira","433","EDP","11:00Z/11:31Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",13,1e-05,"EUROPE",13,"individuals","E16.3.9","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Mirandela","event","MCFT16-1","EDP","“had oc” observations","scats",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488709","Microtus cabrerae Thomas, 1906",41.369151,-7.229674,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:22.993+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,17,"2017-05-17T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:22.993+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","d39464ab-d44e-4ef4-bcbd-c6486467277a",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488709","EDP_TUA_Cabrera_PME","d39464ab-d44e-4ef4-bcbd-c6486467277a",NA,"Catarina Ferreira","435","EDP","14:45Z/14:48Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",10,1e-05,"EUROPE",10,"individuals","E19.7.1","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Vila Flor","event","MCFT19-2","EDP","“had oc” observations","trails",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488715","Microtus cabrerae Thomas, 1906",41.370983,-7.224498,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:23.013+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,17,"2017-05-17T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:23.013+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","5701e870-cf5b-4b53-a7b2-867b77e40244",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488715","EDP_TUA_Cabrera_PME","5701e870-cf5b-4b53-a7b2-867b77e40244",NA,"Catarina Ferreira","434","EDP","10:18Z/10:38Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",3,1e-05,"EUROPE",3,"individuals","E17.5","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Vila Flor","event","MCFT17-1","EDP","“had oc” observations","trails",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488718","Microtus cabrerae Thomas, 1906",41.457775,-7.18942,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:23.011+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,16,"2017-05-16T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:23.011+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","0a514180-ea54-4eaa-98f7-aca84d263ebc",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488718","EDP_TUA_Cabrera_PME","0a514180-ea54-4eaa-98f7-aca84d263ebc",NA,"Catarina Ferreira","425","EDP","10:50Z/11:19Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",7,1e-05,"EUROPE",7,"individuals","E2.4.1","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Mirandela","event","MCFT02-1","EDP","“had oc” observations","trails",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488726","Microtus cabrerae Thomas, 1906",41.368846,-7.231017,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:22.985+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,17,"2017-05-17T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:22.985+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","aa3dbfeb-618a-4b1c-941d-12d1e7450684",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488726","EDP_TUA_Cabrera_PME","aa3dbfeb-618a-4b1c-941d-12d1e7450684",NA,"Catarina Ferreira","438","EDP","14:45Z/14:48Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",1,1e-05,"EUROPE",1,"individuals","E19.4.2","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Vila Flor","event","MCFT19-1","EDP","“had oc” observations","scats",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488760","Microtus cabrerae Thomas, 1906",41.369151,-7.229674,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:23.002+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,17,"2017-05-17T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:23.002+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","82584101-5230-4279-a38b-b86129af38df",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488760","EDP_TUA_Cabrera_PME","82584101-5230-4279-a38b-b86129af38df",NA,"Catarina Ferreira","436","EDP","14:45Z/14:48Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",5,1e-05,"EUROPE",5,"individuals","E19.7.2","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Vila Flor","event","MCFT19-2","EDP","“had oc” observations","scats",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488771","Microtus cabrerae Thomas, 1906",41.368846,-7.231017,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:23.080+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,17,"2017-05-17T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:23.080+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","5517300d-820f-4907-8cf0-d6bb13d0ff99",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488771","EDP_TUA_Cabrera_PME","5517300d-820f-4907-8cf0-d6bb13d0ff99",NA,"Catarina Ferreira","437","EDP","14:45Z/14:48Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",5,1e-05,"EUROPE",5,"individuals","E19.4.1","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Vila Flor","event","MCFT19-1","EDP","“had oc” observations","trails",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488875","Microtus cabrerae Thomas, 1906",41.379447,-7.233716,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:22.985+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,17,"2017-05-17T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:22.985+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","638737d1-4adb-4845-98c6-a7c8f5c4bc83",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488875","EDP_TUA_Cabrera_PME","638737d1-4adb-4845-98c6-a7c8f5c4bc83",NA,"Catarina Ferreira","440","EDP","12:00Z/12:29Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",4,1e-05,"EUROPE",4,"individuals","E24.7.2","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Mirandela","event","MCFT24B-1","EDP","“had oc” observations","trails",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488919","Microtus cabrerae Thomas, 1906",41.380828,-7.233064,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:23.054+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,17,"2017-05-17T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:23.054+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","4b4d88d1-440a-4c88-b16f-3ea3bffe447c",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488919","EDP_TUA_Cabrera_PME","4b4d88d1-440a-4c88-b16f-3ea3bffe447c",NA,"Catarina Ferreira","439","EDP","12:30Z/12:46Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",10,1e-05,"EUROPE",10,"individuals","E24.3","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Mirandela","event","MCFT24A-1","EDP","“had oc” observations","trails",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2521488925","Microtus cabrerae Thomas, 1906",41.389396,-7.239509,"cdround","e94838e6-ded0-498e-abc0-df89809999d1","e5150835-f502-424c-b470-24dd496b1b18","06d75b22-fc7a-42ff-a14f-65a25cd0f3ab","PT","DWC_ARCHIVE","2021-11-20T20:22:55.209+00:00","2022-01-29T20:04:23.033+00:00",1,"cdcc4ce1-7f6e-4ed2-b47c-eb451925b038","HUMAN_OBSERVATION","PRESENT",2438668,1,44,359,1459,3240723,2438591,2438668,2438668,"Microtus cabrerae Thomas, 1906","Animalia","Chordata","Rodentia","Cricetidae","Microtus","Microtus cabrerae","Microtus","cabrerae","SPECIES","ACCEPTED","NT",NA,5,"Bragança",2017,5,17,"2017-05-17T00:00:00","2019-09-05T00:00:00.000+00:00","2022-01-29T20:04:23.033+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,FALSE,"WGS84","Mammalia","PT","Portugal","EDP - Energias de Portugal, S.A","e4d69b61-9d10-45ea-9a0c-c1e569fd5eb9",NA,NA,NA,"EDP Foz Tua: Cabrera vole (Microtus cabrerae) & Microtidae: Ecological monitoring Program (2012-2017)",NA,"2521488925","EDP_TUA_Cabrera_PME","e4d69b61-9d10-45ea-9a0c-c1e569fd5eb9",NA,"Catarina Ferreira","441","EDP","15:50Z/16:14Z","Catarina Ferreira",NA,NA,"EDP Biodiversity Data ",15,1e-05,"EUROPE",15,"individuals","E26.4.1","e5150835-f502-424c-b470-24dd496b1b18","coordinates obtained with GPS","Mirandela","event","MCFT26-1","EDP","“had oc” observations","trails",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Microtus cabrerae Thomas, 1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
